code,nuts1_code,name
UKC1,UKC,Tees Valley and Durham
UKC2,UKC,Northumberland and Tyne and Wear
UKD1,UKD,Cumbria
UKD3,UKD,Greater Manchester
UKD4,UKD,Lancashire
UKD6,UKD,Cheshire
UKD7,UKD,Merseyside
UKE1,UKE,East Yorkshire and Northern Lincolnshire
UKE2,UKE,North Yorkshire
UKE3,UKE,South Yorkshire
UKE4,UKE,West Yorkshire
UKF1,UKF,Derbyshire and Nottinghamshire
UKF2,UKF,"Leicestershire, Rutland and Northamptonshire"
UKF3,UKF,Lincolnshire
UKG1,UKG,"Herefordshire, Worcestershire and Warwickshire"
UKG2,UKG,Shropshire and Staffordshire
UKG3,UKG,West Midlands
UKH1,UKH,East Anglia
UKH2,UKH,Bedfordshire and Hertfordshire
UKH3,UKH,Essex
UKI3,UKI,Inner London - West
UKI4,UKI,Inner London - East
UKI5,UKI,Outer London - East and North East
UKI6,UKI,Outer London - South
UKI7,UKI,Outer London - West and North West
UKJ1,UKJ,"Berkshire, Buckinghamshire and Oxfordshire"
UKJ2,UKJ,"Surrey, East and West Sussex"
UKJ3,UKJ,Hampshire and Isle of Wight
UKJ4,UKJ,Kent
UKK1,UKK,"Gloucestershire, Wiltshire and Bristol/Bath area"
UKK2,UKK,Dorset and Somerset
UKK3,UKK,Cornwall and Isles of Scilly
UKK4,UKK,Devon
UKL1,UKL,West Wales and The Valleys
UKL2,UKL,East Wales
UKM2,UKM,Eastern Scotland
UKM3,UKM,South Western Scotland
UKM5,UKM,North Eastern Scotland
UKM6,UKM,Highlands and Islands
UKN0,UKN,Northern Ireland
