code,name
UKC,North East (England)
UKD,North West (England)
UKE,Yorkshire and The Humber
UKF,East Midlands (England)
UKG,West Midlands (England)
UKH,East of England
UKI,London
UKJ,South East (England)
UKK,South West (England)
UKL,Wales
UKM,Scotland
UKN,Northern Ireland
