id,service,live_at,expires_at
RM6238,supply_teachers,2022-09-12,2026-09-01
RM6187,management_consultancy,2021-09-04,2025-08-23
RM6240,legal_services,2022-10-03,2026-10-01
RM6309,management_consultancy,2025-08-18,2028-08-18
RM6360,legal_panel_for_government,2025-11-23,2028-11-23
RM3830,facilities_management,2018-07-10,2023-04-06
RM6232,facilities_management,2022-07-14,2026-06-08
RM6378,facilities_management,2026-06-30,2031-06-30
