Firm,Region,Propery and construction,Social housing,Child law,Court of protection,Education,Debt recovery,Planning and environmenty,Licensing,Pensions,Litigation/dispute resolution,Intellectual property, Employment,Healthcare,PrimaryCare
Hill Dickinson LLP,SWE,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,SWE,,,,,,,,,,x,,,,
Hugh James,SWE,x,x,x,x,,x,x,x,x,x,x,x,,
Judge and Priestley LLP,SWE,,,,,,x,,,,,,,,
Kennedys Law LLP,SWE,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,SWE,,,,,,,,,,x,,,,
Kingsley Napley LLP,SWE,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,SWE,,,,,,,,,,,,,,
Michelmores LLP,SWE,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,SWE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,SWE,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,SWE,,,,,,,,,,,,,,
Muckle LLP,SWE,x,x,,,x,x,,,,x,x,x,,
Plexus Law,SWE,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,SWE,x,x,,,,x,x,x,,x,x,x,,
Stephenson Harwood LLP,SWE,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,SWE,x,x,x,x,,x,,,,x,,x,,
The Spring Advisory Group Limited t/a Spring Law,SWE,,,,,,x,,,,x,,,,
Trowers & Hamlins LLP,SWE,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,SWE,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,SWE,,,,,,,,,,,,,,
Acuity Legal Limited,WA,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,WA,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,WA,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,WA,x,,,,,,x,,,x,x,x,,
Birketts LLP,WA,,,,,,,,,,,,,,
Blake Morgan LLP,WA,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,WA,,,,,,,,,,,,,,
Browne Jacobson LLP,WA,x,x,x,x,x,x,x,x,x,x,x,x,x,x
