code,name
A,Contract management
B,Contract mobilisation
C,Maintenance services
D,Horticultural services
E,Statutory obligations
F,Catering services
G,Cleaning services
H,Workplace FM services
I,Reception services
J,Security services
K,Waste services
L,Miscellaneous FM services
M,Computer-aided facilities management (CAFM)
N,Helpdesk services
O,Management of billable works
