uprn,udprn,change_type,state,state_date,class,parent_uprn,x_coordinate,y_coordinate,latitude,longitude,rpc,local_custodian_code,country,la_start_date,last_update_date,entry_date,rm_organisation_name,la_organisation,department_name,legal_name,sub_building_name,building_name,building_number,sao_start_number,sao_start_suffix,sao_end_number,sao_end_suffix,sao_text,alt_language_sao_text,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,alt_language_pao_text,usrn,usrn_match_indicator,area_name,level,official_flag,os_address_toid,os_address_toid_version,os_roadlink_toid,os_roadlink_toid_version,os_topo_toid,os_topo_toid_version,voa_ct_record,voa_ndr_record,street_description,alt_language_street_description,dependent_thoroughfare,thoroughfare,welsh_dependent_thoroughfare,welsh_thoroughfare,double_dependent_locality,dependent_locality,locality,welsh_dependent_locality,welsh_double_dependent_locality,town_name,administrative_area,post_town,welsh_post_town,postcode,postcode_locator,postcode_type,delivery_point_suffix,addressbase_postal,po_box_number,ward_code,parish_code,rm_start_date,multi_occ_count,voa_ndr_p_desc_code,voa_ndr_scat_code,alt_language
10024854131,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,WALHOUSE PLACE,,,,,,,,,,,,,,,CLAY STREET,,,,,,,,,,,PENKRIDGE,,,,,ST19 5FB,,,,,,,,,,,
10024854133,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELLIOTT STREET,,,,,,,,,,,NEWCASTLE UNDER LYME,,,,,ST5 1JL,,,,,,,,,,,
10024854135,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,BEECH HILL,,,,,,,,,,,,,,,BUTTHOUSE LANE,,,,,,,,,,,STAFFORD,,,,,ST21 6RE,,,,,,,,,,,
10024854137,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COWAN DRIVE,,,,,,,,,,,STAFFORD,,,,,ST16 3FA,,,,,,,,,,,
10024854139,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,PENNYCROFTS,,,,,,,,,,,,,,,BUTT LANE,,,,,,,,,,,STAFFORD,,,,,ST18 9JZ,,,,,,,,,,,
10024854141,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,THE LILACS,,,,,,,,,,,,,,,SHALLOWFORD LANE,,,,,,,,,,,STONE,,,,,ST15 0NZ,,,,,,,,,,,
10024854143,,,,,PP,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,CHARTLEY MANOR MEWS,,,,,,,,,,,,,,,UTTOXETER ROAD,,,,,,,,,,,STAFFORD,,,,,ST18 0LL,,,,,,,,,,,
10024854145,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARKET FIELDS,,,,,,,,,,,STAFFORD,,,,,ST21 6LA,,,,,,,,,,,
10024854147,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAULDON AVENUE,,,,,,,,,,,NEWCASTLE UNDER LYME,,,,,ST5 8QF,,,,,,,,,,,
10024854149,,,,,RH02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOCKWOOD ROAD,,,,,,,,,,,NEWCASTLE UNDER LYME,,,,,ST5 3LQ,,,,,,,,,,,
10024854151,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERNON AVENUE,,,,,,,,,,,NEWCASTLE UNDER LYME,,,,,ST7 8EF,,,,,,,,,,,
10024854153,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANDY LANE,,,,,,,,,,,STAFFORD,,,,,ST21 6SF,,,,,,,,,,,
10024854155,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARBORNE ROAD,,,,,,,,,,,CHEADLE,,,,,ST10 1JY,,,,,,,,,,,
10024854157,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRIDGWOOD ROAD,,,,,,,,,,,BLYTHE BRIDGE,,,,,ST11 9PR,,,,,,,,,,,
10024854159,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADFORD BANK,,,,,,,,,,,STAFFORD,,,,,ST17 4PJ,,,,,,,,,,,
10024854161,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOWBROOK COURT,,,,,,,,,,,STONE,,,,,ST15 8LX,,,,,,,,,,,
10024854163,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEEK ROAD,,,,,,,,,,,CHEADLE,,,,,ST10 1JH,,,,,,,,,,,
10024854165,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOWS DRIVE,,,,,,,,,,,MEIR HEATH,,,,,ST3 7LZ,,,,,,,,,,,
10024854167,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VICARAGE WAY,,,,,,,,,,,HIXON,,,,,ST18 0FT,,,,,,,,,,,
10024854169,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE RIDGEWAY,,,,,,,,,,,STAFFORD,,,,,ST16 1XP,,,,,,,,,,,
10024854171,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIRGINIA AVENUE,,,,,,,,,,,STAFFORD,,,,,ST17 4YA,,,,,,,,,,,
10024854173,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHESTNUT DRIVE,,,,,,,,,,,STONE,,,,,ST15 0XN,,,,,,,,,,,
10024854175,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOWSIDE,,,,,,,,,,,STOKE ON TRENT,,,,,ST11 9QX,,,,,,,,,,,
10024854177,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,HAYWOOD HOUSE,,,,,,,,,,,,,,,MAIN ROAD,,,,,,,,,,,STAFFORD,,,,,ST18 0SW,,,,,,,,,,,
10024854179,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPPICE CLOSE,,,,,,,,,,,STONE,,,,,ST15 8BN,,,,,,,,,,,
10024854181,,,,,CO01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,BUSINESS INNOVATION CENTRE,,,,,,,,,,,,,,,MORSE CLOSE,,,,,,,,,,,STAFFORD,,,,,ST18 0AR,,,,,,,,,,,
10024854183,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,THE COACH HOUSES,,,,,,,,,,,,,,,BURSTON LANE,,,,,,,,,,,STAFFORD,,,,,ST18 0DS,,,,,,,,,,,
10024854185,,,,,CR08,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST EDWARD STREET,,,,,,,,,,,LEEK,,,,,ST13 5DL,,,,,,,,,,,
10024854187,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,BENNACHIE,,,,,,,,,,,,,,,BACK LANE,,,,,,,,,,,CALTON,,,,,ST10 3JX,,,,,,,,,,,
10024854189,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCHOOL LANE,,,,,,,,,,,CAVERSWALL,,,,,ST11 9EN,,,,,,,,,,,
10024854191,,,,,ZW99CH,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,ST MARYS ROMAN CATHOLIC CHURCH,,,,,,,,,,,,,,,COMPTON,,,,,,,,,,,LEEK,,,,,ST13 5NH,,,,,,,,,,,
10024854193,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,HIGGINS HILL BUNGALOW,,,,,,,,,,,,,,,BASFORD VIEW,,,,,,,,,,,CHEDDLETON,,,,,ST13 7HJ,,,,,,,,,,,
10024854195,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOW LANE,,,,,,,,,,,GILLOW HEATH,,,,,ST8 6QB,,,,,,,,,,,
10024854197,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASH BANK ROAD,,,,,,,,,,,WERRINGTON,,,,,ST2 9EE,,,,,,,,,,,
10024854199,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KINGSLEY ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 8HL,,,,,,,,,,,
10024854201,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST SAVIOURS ROAD,,,,,,,,,,,TOTLAND,,,,,PO39 0EZ,,,,,,,,,,,
10024854203,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUNTER ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 9DL,,,,,,,,,,,
10024854205,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORTSDOWN AVENUE,,,,,,,,,,,PORTSMOUTH,,,,,PO6 1EL,,,,,,,,,,,
10024854207,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,OYSTER QUAY,,,,,,,,,,,,,,,PORT WAY,,,,,,,,,,,PORTSMOUTH,,,,,PO6 4TQ,,,,,,,,,,,
10024854209,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCARNO ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO3 5DG,,,,,,,,,,,
